Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST?,STL,BLK,TOV,PF,PTS
179,John Konchar,SF,27,MEM,18,2,18.2,1.3,3.4,0.371,0.7,2.1,0.342,0.6,1.3,0.417,0.476,0.2,0.3,0.667,1.1,3.1,4.2,1.4,0.7,0.7,0.4,1.1,3.5
180,Isaiah Stewart,PF,22,DET,23,23,31.1,4,8.7,0.46,1.4,3.8,0.375,2.6,4.9,0.527,0.543,1.3,1.7,0.775,1.8,5.3,7.1,1.4,0.3,0.6,1.7,2.6,10.8
181,Gary Trent Jr.,SG,25,TOR,20,2,25.2,3.8,10,0.382,1.8,5.1,0.343,2.1,4.9,0.423,0.47,1,1.6,0.594,0.3,1.7,2,1.4,0.7,0.1,0.6,1.1,10.3
182,Myles Turner,C,27,IND,21,21,27.6,6.4,12.5,0.515,1.4,4.4,0.315,5,8.1,0.624,0.571,3.1,4.1,0.759,1.8,6.2,8,1.4,0.7,2.1,1.4,3.2,17.4
183,Jaylin Williams,C,21,OKC,17,0,12.7,1.4,3.8,0.375,0.8,2.2,0.342,0.6,1.5,0.423,0.477,0.6,0.7,0.917,0.5,2.8,3.3,1.4,0.4,0.1,0.5,1.6,4.2
184,Dorian Finney-Smith,PF,30,BRK,21,17,30.8,4.1,8.6,0.483,2.7,5.8,0.459,1.5,2.8,0.534,0.639,0.2,0.3,0.667,2,3.3,5.2,1.3,0.6,0.7,0.9,2.1,11.1
185,Isaiah Hartenstein,C,25,NYK,22,0,18,2.2,4,0.563,0,0.1,0.333,2.2,3.8,0.571,0.569,1.1,1.6,0.667,2.7,3,5.7,1.3,0.9,0.6,0.9,2.8,5.6
186,De'Andre Hunter,SF,26,ATL,21,21,30.6,5,11.1,0.451,1.8,4.9,0.373,3.2,6.2,0.511,0.532,3,3.3,0.899,0.7,3.6,4.2,1.3,0.9,0.3,1.6,3.1,14.8
187,Georges Niang,PF,30,CLE,24,1,22.5,3,7.4,0.407,1.5,4.3,0.356,1.5,3,0.479,0.511,0.5,0.5,0.923,0.4,3.5,3.9,1.3,0.3,0.1,0.7,2.3,8
188,Obi Toppin,PF,25,IND,21,20,24.1,5.1,8.3,0.611,1.2,3.3,0.357,3.9,5,0.781,0.683,1.3,1.6,0.794,0.9,2.2,3.1,1.3,0.6,0.6,0.8,2,12.7
189,Cason Wallace,SG,20,OKC,22,5,22.3,3,5,0.591,1.1,2.2,0.521,1.8,2.8,0.645,0.705,0.5,0.7,0.8,0.5,1.9,2.4,1.3,0.6,0.5,0.5,1.7,7.6
